"t / s";"CH1 / V"
0;7.38139
2e-05;7.37901
4e-05;7.38455
6e-05;7.38376
8e-05;7.38297
0.0001;7.38059
0.00012;7.38139
0.00014;7.38139
0.00016;7.38297
0.00018;7.38139
0.0002;7.38455
0.00022;7.38139
0.00024;7.38772
0.00026;7.38059
0.00028;7.3798
0.0003;7.38376
0.00032;7.38931
0.00034;7.37743
0.00036;7.38376
0.00038;7.38614
0.0004;7.38455
0.00042;7.38772
0.00044;7.38059
0.00046;7.38297
0.00048;7.38139
0.0005;7.38376
0.00052;7.38297
0.00054;7.38376
0.00056;7.38139
0.00058;7.38455
0.0006;7.38376
0.00062;7.3798
0.00064;7.38772
0.00066;7.37663
0.00068;7.37743
0.0007;7.38218
0.00072;7.38297
0.00074;7.38376
0.00076;7.3798
0.00078;7.38059
0.0008;7.3798
0.00082;7.38297
0.00084;7.38218
0.00086;7.38139
0.00088;7.38297
0.0009;7.37743
0.00092;7.37584
0.00094;7.38218
0.00096;7.37901
0.00098;7.37663
0.001;7.3798
0.00102;7.38535
0.00104;7.37901
0.00106;7.37663
0.00108;7.37584
0.0011;7.37822
0.00112;7.38059
0.00114;7.38139
0.00116;7.37743
0.00118;7.37663
0.0012;7.38297
0.00122;7.38376
0.00124;7.38535
0.00126;7.37822
0.00128;7.3798
0.0013;7.37584
0.00132;7.37901
0.00134;7.37505
0.00136;7.38059
0.00138;7.37584
0.0014;7.38059
0.00142;7.37822
0.00144;7.37901
0.00146;7.37584
0.00148;7.37347
0.0015;7.37505
0.00152;7.37663
0.00154;7.37347
0.00156;7.37188
0.00158;7.37505
0.0016;7.37188
0.00162;7.37584
0.00164;7.37347
0.00166;7.37505
0.00168;7.37347
0.0017;7.37267
0.00172;7.37188
0.00174;7.37426
0.00176;7.37426
0.00178;7.37267
0.0018;7.3703
0.00182;7.3695
0.00184;7.37743
0.00186;7.37505
0.00188;7.37743
0.0019;7.37347
0.00192;7.37822
0.00194;7.37426
0.00196;7.37584
0.00198;7.37505
0.002;7.37267
0.00202;7.37188
0.00204;7.37505
0.00206;7.37822
0.00208;7.37426
0.0021;7.37347
0.00212;7.37584
0.00214;7.37505
0.00216;7.37663
0.00218;7.37505
0.0022;7.37267
0.00222;7.37347
0.00224;7.37188
0.00226;7.37505
0.00228;7.37188
0.0023;7.37505
0.00232;7.37584
0.00234;7.37188
0.00236;7.37267
0.00238;7.37267
0.0024;7.37584
0.00242;7.37901
0.00244;7.37347
0.00246;7.37347
0.00248;7.37901
0.0025;7.37426
0.00252;7.37822
0.00254;7.37743
0.00256;7.38059
0.00258;7.38059
0.0026;7.37743
0.00262;7.37822
0.00264;7.38139
0.00266;7.38297
0.00268;7.38376
0.0027;7.38139
0.00272;7.38376
0.00274;7.39327
0.00276;7.38535
0.00278;7.38059
0.0028;7.3798
0.00282;7.38297
0.00284;7.38297
0.00286;7.37743
0.00288;7.37505
0.0029;7.38218
0.00292;7.3798
0.00294;7.38614
0.00296;7.37426
0.00298;7.3798
0.003;7.38059
0.00302;7.37743
0.00304;7.37663
0.00306;7.37743
0.00308;7.38931
0.0031;7.3798
0.00312;7.38376
0.00314;7.38059
0.00316;7.38693
0.00318;7.37901
0.0032;7.38535
0.00322;7.37822
0.00324;7.38218
0.00326;7.37901
0.00328;7.38535
0.0033;7.3798
0.00332;7.38218
0.00334;7.38218
0.00336;7.38297
0.00338;7.38535
0.0034;7.38139
0.00342;7.3798
0.00344;7.38139
0.00346;7.37663
0.00348;7.3798
0.0035;7.37822
0.00352;7.38139
0.00354;7.37743
0.00356;7.37505
0.00358;7.37505
0.0036;7.37901
0.00362;7.38139
0.00364;7.37663
0.00366;7.37743
0.00368;7.38218
0.0037;7.3798
0.00372;7.37901
0.00374;7.3798
0.00376;7.37743
0.00378;7.37822
0.0038;7.37267
0.00382;7.3798
0.00384;7.3798
0.00386;7.38693
0.00388;7.38059
0.0039;7.38376
0.00392;7.38218
0.00394;7.37901
0.00396;7.37743
0.00398;7.38297
