"t / s";"CH1 / V"
0;7,47475
5e-05;7,47475
0,0001;7,47475
0,00015;7,47475
0,0002;7,47071
0,00025;7,47273
0,0003;7,47475
0,00035;7,47273
0,0004;7,47475
0,00045;7,47273
0,0005;7,47071
0,00055;7,47071
0,0006;7,47475
0,00065;7,47677
0,0007;7,47071
0,00075;7,47475
0,0008;7,47273
0,00085;7,47273
0,0009;7,47677
0,00095;7,47475
0,001;7,47475
0,00105;7,47071
0,0011;7,47273
0,00115;7,47475
0,0012;7,46869
0,00125;7,47475
0,0013;7,47273
0,00135;7,47475
0,0014;7,47273
0,00145;7,47475
0,0015;7,47475
0,00155;7,47677
0,0016;7,47475
0,00165;7,46667
0,0017;7,47475
0,00175;7,47071
0,0018;7,47475
0,00185;7,47273
0,0019;7,47071
0,00195;7,47475
0,002;7,47273
0,00205;7,47273
0,0021;7,46667
0,00215;7,47475
0,0022;7,47475
0,00225;7,47475
0,0023;7,47071
0,00235;7,46667
0,0024;7,47475
0,00245;7,47071
0,0025;7,47273
0,00255;7,47273
0,0026;7,47475
0,00265;7,47677
0,0027;7,47273
0,00275;7,47273
0,0028;7,47273
0,00285;7,47273
0,0029;7,47071
0,00295;7,46869
0,003;7,46869
0,00305;7,46869
0,0031;7,47071
0,00315;7,47475
0,0032;7,47071
0,00325;7,47071
0,0033;7,46667
0,00335;7,46667
0,0034;7,47071
0,00345;7,47475
0,0035;7,46869
0,00355;7,47273
0,0036;7,47475
0,00365;7,46465
0,0037;7,47273
0,00375;7,46869
0,0038;7,46869
0,00385;7,47071
0,0039;7,47475
0,00395;7,47475
0,004;7,47475
0,00405;7,47475
0,0041;7,47475
0,00415;7,47273
0,0042;7,47273
0,00425;7,46869
0,0043;7,47273
0,00435;7,47475
0,0044;7,47475
0,00445;7,46869
0,0045;7,47475
0,00455;7,47273
0,0046;7,47475
0,00465;7,47273
0,0047;7,47475
0,00475;7,47475
0,0048;7,47475
0,00485;7,47071
0,0049;7,47071
0,00495;7,47273
0,005;7,47677
0,00505;7,46869
0,0051;7,47677
0,00515;7,47071
0,0052;7,46465
0,00525;7,47273
0,0053;7,47475
0,00535;7,47071
0,0054;7,46667
0,00545;7,46869
0,0055;7,46667
0,00555;7,47475
0,0056;7,47273
0,00565;7,46465
0,0057;7,47273
0,00575;7,46667
0,0058;7,47071
0,00585;7,47071
0,0059;7,47273
0,00595;7,47071
0,006;7,47273
0,00605;7,47071
0,0061;7,47273
0,00615;7,47475
0,0062;7,47273
0,00625;7,47677
0,0063;7,47071
0,00635;7,47273
0,0064;7,47071
0,00645;7,47071
0,0065;7,47475
0,00655;7,46869
0,0066;7,47475
0,00665;7,47071
0,0067;7,47677
0,00675;7,47273
0,0068;7,46869
0,00685;7,47475
0,0069;7,47071
0,00695;7,47273
0,007;7,47071
0,00705;7,47071
0,0071;7,47475
0,00715;7,47273
0,0072;7,47071
0,00725;7,47273
0,0073;7,47273
0,00735;7,47273
0,0074;7,47273
0,00745;7,47071
0,0075;7,47273
0,00755;7,47475
0,0076;7,47273
0,00765;7,47475
0,0077;7,47475
0,00775;7,47071
0,0078;7,47273
0,00785;7,47273
0,0079;7,47475
0,00795;7,47273
0,008;7,47071
0,00805;7,47273
0,0081;7,47071
0,00815;7,47475
0,0082;7,47273
0,00825;7,47475
0,0083;7,46869
0,00835;7,47475
0,0084;7,47475
0,00845;7,47475
0,0085;7,47071
0,00855;7,47273
0,0086;7,47273
0,00865;7,47273
0,0087;7,47475
0,00875;7,47475
0,0088;7,47273
0,00885;7,47475
0,0089;7,47273
0,00895;7,47475
0,009;7,47273
0,00905;7,47071
0,0091;7,47071
0,00915;7,46869
0,0092;7,47071
0,00925;7,46667
0,0093;7,47071
0,00935;7,47071
0,0094;7,47071
0,00945;7,47475
0,0095;7,47475
0,00955;7,47273
0,0096;7,47475
0,00965;7,47071
0,0097;7,47273
0,00975;7,47071
0,0098;7,47273
0,00985;7,47273
0,0099;7,47071
0,00995;7,47071
0,01;7,47475
0,01005;7,47273
0,0101;7,47475
0,01015;7,47475
0,0102;7,47071
0,01025;7,46869
0,0103;7,47475
0,01035;7,47071
0,0104;7,47475
0,01045;7,47273
0,0105;7,46869
0,01055;7,47475
0,0106;7,47071
0,01065;7,47273
0,0107;7,47273
0,01075;7,47273
0,0108;7,47475
0,01085;7,47273
0,0109;7,47475
0,01095;7,47475
0,011;7,47475
0,01105;7,47273
0,0111;7,46869
0,01115;7,47475
0,0112;7,47475
0,01125;7,47273
0,0113;7,47273
0,01135;7,47273
0,0114;7,47071
0,01145;7,47273
0,0115;7,47071
0,01155;7,47071
0,0116;7,47273
0,01165;7,47071
0,0117;7,47071
0,01175;7,46667
0,0118;7,47071
0,01185;7,46869
0,0119;7,47071
0,01195;7,47071
0,012;7,46869
0,01205;7,47273
0,0121;7,46667
0,01215;7,47475
0,0122;7,46869
0,01225;7,47071
0,0123;7,46061
0,01235;7,47071
0,0124;7,46869
0,01245;7,47273
0,0125;7,46869
0,01255;7,47273
0,0126;7,46465
0,01265;7,47273
0,0127;7,46869
0,01275;7,47273
0,0128;7,47273
0,01285;7,46667
0,0129;7,46869
0,01295;7,46667
0,013;7,46667
0,01305;7,46869
0,0131;7,46263
0,01315;7,46869
0,0132;7,46869
0,01325;7,45859
0,0133;7,46061
0,01335;7,46667
0,0134;7,46061
0,01345;7,46263
0,0135;7,46263
0,01355;7,45859
0,0136;7,45657
0,01365;7,45859
0,0137;7,47071
0,01375;7,47071
0,0138;7,46061
0,01385;7,46465
0,0139;7,46465
0,01395;7,45455
0,014;7,47071
0,01405;7,47071
0,0141;7,47273
0,01415;7,46869
0,0142;7,47071
0,01425;7,47273
0,0143;7,46869
0,01435;7,46263
0,0144;7,46667
0,01445;7,47273
0,0145;7,47071
0,01455;7,46869
0,0146;7,47071
0,01465;7,47071
0,0147;7,47677
0,01475;7,46667
0,0148;7,46667
0,01485;7,47273
0,0149;7,47273
0,01495;7,47071
0,015;7,47071
0,01505;7,47071
0,0151;7,47273
0,01515;7,47071
0,0152;7,46869
0,01525;7,46667
0,0153;7,47273
0,01535;7,47475
0,0154;7,47273
0,01545;7,47273
0,0155;7,47273
0,01555;7,47677
0,0156;7,47475
0,01565;7,47273
0,0157;7,47071
0,01575;7,47273
0,0158;7,47273
0,01585;7,47273
0,0159;7,47071
0,01595;7,47475
0,016;7,47273
0,01605;7,47071
0,0161;7,47475
0,01615;7,47273
0,0162;7,47273
0,01625;7,47273
0,0163;7,47273
0,01635;7,47475
0,0164;7,47273
0,01645;7,47273
0,0165;7,47475
0,01655;7,47475
0,0166;7,47273
