"t / s","CH1 / V"
0,3.46869
2e-06,3.47273
4e-06,3.48485
6e-06,3.47879
8e-06,3.47273
1e-05,3.47677
1.2e-05,3.47273
1.4e-05,3.47879
1.6e-05,3.46263
1.8e-05,3.47677
2e-05,3.48687
2.2e-05,3.45253
2.4e-05,3.46667
2.6e-05,3.48081
2.8e-05,3.48283
3e-05,3.45859
3.2e-05,3.48081
3.4e-05,3.49293
3.6e-05,3.47879
3.8e-05,3.45657
4e-05,3.47879
4.2e-05,3.48081
4.4e-05,3.48081
4.6e-05,3.45051
4.8e-05,3.48283
5e-05,3.47677
5.2e-05,3.48081
5.4e-05,3.45859
5.6e-05,3.46869
5.8e-05,3.49091
6e-05,3.47475
6.2e-05,3.46869
6.4e-05,3.46061
6.6e-05,3.47677
6.8e-05,3.48687
7e-05,3.47879
7.2e-05,3.46465
7.4e-05,3.47273
7.6e-05,3.49293
7.8e-05,3.47273
8e-05,3.47475
8.2e-05,3.46667
8.4e-05,3.47475
8.6e-05,3.48687
8.8e-05,3.48687
9e-05,3.46869
9.2e-05,3.49091
9.4e-05,3.47677
9.6e-05,3.46869
9.8e-05,3.48485
0.0001,3.46869
0.000102,3.47475
0.000104,3.47475
0.000106,3.49091
0.000108,3.45253
0.00011,3.49293
0.000112,3.49091
0.000114,3.46465
0.000116,3.46465
0.000118,3.49495
0.00012,3.46263
0.000122,3.46061
0.000124,3.48283
0.000126,3.46061
0.000128,3.48485
0.00013,3.49495
0.000132,3.45859
0.000134,3.47879
0.000136,3.49495
0.000138,3.46061
0.00014,3.48687
0.000142,3.46869
0.000144,3.48485
0.000146,3.46667
0.000148,3.46667
0.00015,3.48889
0.000152,3.46869
0.000154,3.46869
0.000156,3.47071
0.000158,3.48485
0.00016,3.46869
0.000162,3.47879
0.000164,3.47475
0.000166,3.47879
0.000168,3.48687
0.00017,3.46465
0.000172,3.45859
0.000174,3.48889
0.000176,3.48081
0.000178,3.46465
0.00018,3.47273
0.000182,3.48081
0.000184,3.48081
0.000186,3.47071
0.000188,3.47475
0.00019,3.47071
0.000192,3.47475
0.000194,3.46465
0.000196,3.48889
0.000198,3.46667
0.0002,3.48081
0.000202,3.46465
0.000204,3.47475
0.000206,3.47475
0.000208,3.47071
0.00021,3.47475
0.000212,3.48283
0.000214,3.46465
0.000216,3.45455
0.000218,3.47475
0.00022,3.48485
0.000222,3.46465
0.000224,3.47071
0.000226,3.48485
0.000228,3.46869
0.00023,3.47273
0.000232,3.46263
0.000234,3.48889
0.000236,3.45051
0.000238,3.48081
0.00024,3.48081
0.000242,3.46869
0.000244,3.47273
0.000246,3.49293
0.000248,3.45859
0.00025,3.46869
0.000252,3.47071
0.000254,3.47071
0.000256,3.47071
0.000258,3.46667
0.00026,3.48687
0.000262,3.47273
0.000264,3.46465
0.000266,3.47879
0.000268,3.46465
0.00027,3.47071
0.000272,3.49091
0.000274,3.45859
0.000276,3.48889
0.000278,3.46061
0.00028,3.48081
0.000282,3.47071
0.000284,3.46465
0.000286,3.48081
0.000288,3.47677
0.00029,3.47475
0.000292,3.48687
0.000294,3.47879
0.000296,3.46465
0.000298,3.48485
0.0003,3.47273
0.000302,3.47475
0.000304,3.47071
0.000306,3.46869
0.000308,3.48889
0.00031,3.46869
0.000312,3.46263
0.000314,3.49091
0.000316,3.46667
0.000318,3.47475
0.00032,3.46061
0.000322,3.47475
0.000324,3.47879
0.000326,3.48283
0.000328,3.46263
0.00033,3.47071
0.000332,3.48283
0.000334,3.46263
0.000336,3.46465
0.000338,3.48081
0.00034,3.47677
0.000342,3.45455
0.000344,3.48485
0.000346,3.47273
0.000348,3.47071
0.00035,3.48081
0.000352,3.47071
0.000354,3.46263
0.000356,3.48081
0.000358,3.46667
0.00036,3.47071
0.000362,3.48283
0.000364,3.47071
0.000366,3.46263
0.000368,3.48081
0.00037,3.48283
0.000372,3.46465
0.000374,3.47475
0.000376,3.47677
0.000378,3.47879
0.00038,3.46263
0.000382,3.46869
0.000384,3.48485
0.000386,3.46667
0.000388,3.46263
0.00039,3.49899
0.000392,3.46869
0.000394,3.47071
0.000396,3.48283
0.000398,3.46667
0.0004,3.47475
0.000402,3.46263
0.000404,3.48889
0.000406,3.47475
0.000408,3.45657
0.00041,3.47475
