"t / s","CH1 / V"
0,2.88485
2e-06,2.88081
4e-06,2.88687
6e-06,2.88687
8e-06,2.87475
1e-05,2.90101
1.2e-05,2.89495
1.4e-05,2.88687
1.6e-05,2.89697
1.8e-05,2.88889
2e-05,2.87071
2.2e-05,2.90303
2.4e-05,2.88889
2.6e-05,2.87475
2.8e-05,2.89697
3e-05,2.88283
3.2e-05,2.89091
3.4e-05,2.88283
3.6e-05,2.88081
3.8e-05,2.90707
4e-05,2.88687
4.2e-05,2.89091
4.4e-05,2.89899
4.6e-05,2.87273
4.8e-05,2.90303
5e-05,2.87677
5.2e-05,2.89495
5.4e-05,2.88889
5.6e-05,2.89293
5.8e-05,2.88687
6e-05,2.88889
6.2e-05,2.90505
6.4e-05,2.88889
6.6e-05,2.89091
6.8e-05,2.88889
7e-05,2.89293
7.2e-05,2.90505
7.4e-05,2.87273
7.6e-05,2.90101
7.8e-05,2.88283
8e-05,2.88889
8.2e-05,2.90303
8.4e-05,2.89495
8.6e-05,2.87879
8.8e-05,2.89293
9e-05,2.88687
9.2e-05,2.89899
9.4e-05,2.89899
9.6e-05,2.87677
9.8e-05,2.89697
0.0001,2.87475
0.000102,2.90303
0.000104,2.89697
0.000106,2.88283
0.000108,2.88283
0.00011,2.89293
0.000112,2.88485
0.000114,2.88485
0.000116,2.89091
0.000118,2.88081
0.00012,2.88081
0.000122,2.90303
0.000124,2.88081
0.000126,2.88889
0.000128,2.88485
0.00013,2.89899
0.000132,2.88081
0.000134,2.88485
0.000136,2.89697
0.000138,2.88889
0.00014,2.89495
0.000142,2.87677
0.000144,2.91515
0.000146,2.88283
0.000148,2.89091
0.00015,2.88283
0.000152,2.89495
0.000154,2.89293
0.000156,2.89091
0.000158,2.89697
0.00016,2.88889
0.000162,2.88485
0.000164,2.88485
0.000166,2.88687
0.000168,2.88687
0.00017,2.88485
0.000172,2.89293
0.000174,2.88687
0.000176,2.88283
0.000178,2.88889
0.00018,2.87677
0.000182,2.89899
0.000184,2.88485
0.000186,2.89495
0.000188,2.89495
0.00019,2.88283
0.000192,2.88283
0.000194,2.89293
0.000196,2.88081
0.000198,2.89293
0.0002,2.89091
0.000202,2.87677
0.000204,2.89697
0.000206,2.90505
0.000208,2.89293
0.00021,2.87475
0.000212,2.87475
0.000214,2.89293
0.000216,2.87071
0.000218,2.88485
0.00022,2.91313
0.000222,2.86061
0.000224,2.90505
0.000226,2.87273
0.000228,2.89293
0.00023,2.88687
0.000232,2.90101
0.000234,2.88283
0.000236,2.89293
0.000238,2.91515
0.00024,2.87879
0.000242,2.88081
0.000244,2.88889
0.000246,2.89697
0.000248,2.89091
0.00025,2.89899
0.000252,2.86869
0.000254,2.88889
0.000256,2.89091
0.000258,2.88687
0.00026,2.89495
0.000262,2.87273
0.000264,2.89091
0.000266,2.88485
0.000268,2.89091
0.00027,2.87677
0.000272,2.88889
0.000274,2.89293
0.000276,2.90707
0.000278,2.87475
0.00028,2.91111
0.000282,2.88081
0.000284,2.89899
0.000286,2.90101
0.000288,2.87071
0.00029,2.91313
0.000292,2.88081
0.000294,2.89495
0.000296,2.89697
0.000298,2.88283
0.0003,2.89899
0.000302,2.89091
0.000304,2.89091
0.000306,2.89697
0.000308,2.87475
0.00031,2.89697
0.000312,2.89697
0.000314,2.88081
0.000316,2.87677
0.000318,2.88485
0.00032,2.89495
0.000322,2.89293
0.000324,2.88485
0.000326,2.89697
0.000328,2.87677
0.00033,2.89697
0.000332,2.89091
0.000334,2.89091
0.000336,2.88485
0.000338,2.88485
0.00034,2.91313
0.000342,2.87677
0.000344,2.89091
0.000346,2.88889
0.000348,2.88687
0.00035,2.91111
0.000352,2.88283
0.000354,2.89495
0.000356,2.89293
0.000358,2.87677
0.00036,2.89495
0.000362,2.89091
0.000364,2.88081
0.000366,2.89697
0.000368,2.88283
0.00037,2.89293
0.000372,2.90101
0.000374,2.87475
0.000376,2.89091
0.000378,2.87879
0.00038,2.90101
0.000382,2.88485
0.000384,2.90303
0.000386,2.89293
0.000388,2.88485
0.00039,2.89293
0.000392,2.89899
0.000394,2.90909
0.000396,2.87879
0.000398,2.89091
0.0004,2.88889
0.000402,2.88687
0.000404,2.89697
0.000406,2.88081
0.000408,2.90303
0.00041,2.88687
0.000412,2.89495
0.000414,2.89495
0.000416,2.89293
0.000418,2.86667
0.00042,2.88687
0.000422,2.91111
0.000424,2.89495
0.000426,2.88687
0.000428,2.88889
0.00043,2.88687
0.000432,2.88687
0.000434,2.88889
0.000436,2.90707
0.000438,2.88485
0.00044,2.89091
0.000442,2.87879
0.000444,2.89293
0.000446,2.90505
0.000448,2.88687
0.00045,2.89293
0.000452,2.88485
0.000454,2.89697
0.000456,2.88687
0.000458,2.89697
0.00046,2.88485
0.000462,2.89293
0.000464,2.89091
0.000466,2.88687
0.000468,2.89899
0.00047,2.89091
0.000472,2.89495
0.000474,2.87071
0.000476,2.89697
0.000478,2.89697
0.00048,2.89495
0.000482,2.88081
0.000484,2.89091
0.000486,2.90303
0.000488,2.88081
0.00049,2.89697
0.000492,2.89091
0.000494,2.88687
0.000496,2.89697
0.000498,2.89091
0.0005,2.88889
0.000502,2.89697
0.000504,2.88485
0.000506,2.88081
0.000508,2.90101
0.00051,2.88687
0.000512,2.90707
0.000514,2.88889
0.000516,2.87475
0.000518,2.90303
0.00052,2.89495
0.000522,2.88283
0.000524,2.88485
0.000526,2.89495
0.000528,2.88889
0.00053,2.89293
0.000532,2.87879
0.000534,2.88283
0.000536,2.88889
0.000538,2.89899
0.00054,2.89293
0.000542,2.88283
0.000544,2.87475
0.000546,2.89495
0.000548,2.89293
0.00055,2.88889
