"t / s","CH1 / V"
0,3.47475
4.16667e-08,3.47475
8.33333e-08,3.47475
1.25e-07,3.47475
1.66667e-07,3.47475
2.08333e-07,3.47475
2.5e-07,3.47475
2.91667e-07,3.51515
3.33333e-07,3.51515
3.75e-07,3.47475
4.16667e-07,3.47475
4.58333e-07,3.47475
5e-07,3.47475
5.41667e-07,3.47475
5.83333e-07,3.47475
6.25e-07,3.47475
6.66667e-07,3.51515
7.08333e-07,3.51515
7.5e-07,3.51515
7.91667e-07,3.47475
8.33333e-07,3.47475
8.75e-07,3.47475
9.16667e-07,3.51515
9.58333e-07,3.47475
1e-06,3.47475
1.04167e-06,3.51515
1.08333e-06,3.47475
1.125e-06,3.47475
1.16667e-06,3.51515
1.20833e-06,3.51515
1.25e-06,3.51515
1.29167e-06,3.47475
1.33333e-06,3.51515
1.375e-06,3.51515
1.41667e-06,3.51515
1.45833e-06,3.47475
1.5e-06,3.51515
1.54167e-06,3.47475
1.58333e-06,3.51515
1.625e-06,3.51515
1.66667e-06,3.47475
1.70833e-06,3.47475
1.75e-06,3.47475
1.79167e-06,3.43434
1.83333e-06,3.43434
1.875e-06,3.47475
1.91667e-06,3.47475
1.95833e-06,3.47475
2e-06,3.43434
2.04167e-06,3.47475
2.08333e-06,3.47475
2.125e-06,3.47475
2.16667e-06,3.47475
2.20833e-06,3.47475
2.25e-06,3.47475
2.29167e-06,3.47475
2.33333e-06,3.47475
2.375e-06,3.47475
2.41667e-06,3.47475
2.45833e-06,3.47475
2.5e-06,3.47475
2.54167e-06,3.47475
2.58333e-06,3.51515
2.625e-06,3.51515
2.66667e-06,3.47475
2.70833e-06,3.47475
2.75e-06,3.51515
2.79167e-06,3.47475
2.83333e-06,3.47475
2.875e-06,3.47475
2.91667e-06,3.47475
2.95833e-06,3.47475
3e-06,3.47475
3.04167e-06,3.47475
3.08333e-06,3.47475
3.125e-06,3.47475
3.16667e-06,3.47475
3.20833e-06,3.47475
3.25e-06,3.47475
3.29167e-06,3.51515
3.33333e-06,3.47475
3.375e-06,3.47475
3.41667e-06,3.47475
3.45833e-06,3.47475
3.5e-06,3.51515
3.54167e-06,3.47475
3.58333e-06,3.51515
3.625e-06,3.47475
3.66667e-06,3.51515
3.70833e-06,3.47475
3.75e-06,3.51515
3.79167e-06,3.51515
3.83333e-06,3.47475
3.875e-06,3.51515
3.91667e-06,3.51515
3.95833e-06,3.47475
4e-06,3.51515
4.04167e-06,3.51515
4.08333e-06,3.51515
4.125e-06,3.51515
4.16667e-06,3.51515
4.20833e-06,3.51515
4.25e-06,3.51515
4.29167e-06,3.51515
4.33333e-06,3.51515
4.375e-06,3.51515
4.41667e-06,3.47475
4.45833e-06,3.47475
4.5e-06,3.47475
4.54167e-06,3.47475
4.58333e-06,3.47475
4.625e-06,3.47475
4.66667e-06,3.47475
4.70833e-06,3.47475
4.75e-06,3.47475
4.79167e-06,3.51515
4.83333e-06,3.47475
4.875e-06,3.51515
4.91667e-06,3.51515
4.95833e-06,3.51515
5e-06,3.47475
5.04167e-06,3.47475
5.08333e-06,3.47475
5.125e-06,3.47475
5.16667e-06,3.51515
5.20833e-06,3.51515
5.25e-06,3.51515
5.29167e-06,3.47475
5.33333e-06,3.51515
5.375e-06,3.51515
5.41667e-06,3.47475
5.45833e-06,3.47475
5.5e-06,3.51515
5.54167e-06,3.51515
5.58333e-06,3.47475
5.625e-06,3.51515
5.66667e-06,3.47475
5.70833e-06,3.47475
5.75e-06,3.47475
5.79167e-06,3.47475
5.83333e-06,3.47475
5.875e-06,3.47475
5.91667e-06,3.47475
5.95833e-06,3.43434
6e-06,3.43434
6.04167e-06,3.47475
6.08333e-06,3.43434
6.125e-06,3.47475
6.16667e-06,3.43434
6.20833e-06,3.47475
6.25e-06,3.43434
6.29167e-06,3.47475
6.33333e-06,3.47475
6.375e-06,3.47475
6.41667e-06,3.47475
6.45833e-06,3.51515
6.5e-06,3.47475
6.54167e-06,3.47475
6.58333e-06,3.47475
6.625e-06,3.51515
6.66667e-06,3.51515
6.70833e-06,3.51515
6.75e-06,3.51515
6.79167e-06,3.51515
6.83333e-06,3.47475
6.875e-06,3.51515
6.91667e-06,3.51515
6.95833e-06,3.47475
7e-06,3.51515
7.04167e-06,3.51515
7.08333e-06,3.51515
7.125e-06,3.51515
7.16667e-06,3.51515
7.20833e-06,3.51515
7.25e-06,3.51515
7.29167e-06,3.51515
7.33333e-06,3.47475
7.375e-06,3.47475
7.41667e-06,3.51515
7.45833e-06,3.47475
7.5e-06,3.47475
7.54167e-06,3.47475
7.58333e-06,3.51515
7.625e-06,3.47475
7.66667e-06,3.47475
7.70833e-06,3.47475
7.75e-06,3.51515
7.79167e-06,3.47475
7.83333e-06,3.47475
7.875e-06,3.47475
7.91667e-06,3.51515
7.95833e-06,3.47475
8e-06,3.51515
8.04167e-06,3.51515
8.08333e-06,3.51515
8.125e-06,3.47475
8.16667e-06,3.51515
8.20833e-06,3.51515
8.25e-06,3.51515
8.29167e-06,3.51515
8.33333e-06,3.51515
8.375e-06,3.51515
8.41667e-06,3.51515
8.45833e-06,3.51515
8.5e-06,3.51515
8.54167e-06,3.51515
8.58333e-06,3.47475
8.625e-06,3.47475
8.66667e-06,3.47475
8.70833e-06,3.51515
8.75e-06,3.47475
8.79167e-06,3.47475
8.83333e-06,3.47475
8.875e-06,3.47475
8.91667e-06,3.47475
8.95833e-06,3.47475
9e-06,3.47475
9.04167e-06,3.51515
9.08333e-06,3.47475
9.125e-06,3.47475
9.16667e-06,3.47475
9.20833e-06,3.47475
9.25e-06,3.51515
9.29167e-06,3.47475
9.33333e-06,3.47475
9.375e-06,3.47475
9.41667e-06,3.47475
9.45833e-06,3.43434
9.5e-06,3.47475
9.54167e-06,3.47475
9.58333e-06,3.47475
9.625e-06,3.43434
9.66667e-06,3.47475
9.70833e-06,3.51515
9.75e-06,3.47475
9.79167e-06,3.47475
9.83333e-06,3.51515
9.875e-06,3.51515
9.91667e-06,3.47475
9.95833e-06,3.51515
1e-05,3.51515
1.00417e-05,3.47475
1.00833e-05,3.47475
1.0125e-05,3.47475
1.01667e-05,3.51515
1.02083e-05,3.47475
1.025e-05,3.47475
1.02917e-05,3.51515
1.03333e-05,3.51515
1.0375e-05,3.51515
1.04167e-05,3.47475
1.04583e-05,3.51515
1.05e-05,3.51515
1.05417e-05,3.47475
1.05833e-05,3.47475
1.0625e-05,3.47475
1.06667e-05,3.47475
1.07083e-05,3.47475
1.075e-05,3.51515
1.07917e-05,3.51515
1.08333e-05,3.47475
1.0875e-05,3.47475
1.09167e-05,3.51515
1.09583e-05,3.47475
1.1e-05,3.47475
1.10417e-05,3.47475
1.10833e-05,3.47475
1.1125e-05,3.47475
1.11667e-05,3.47475
1.12083e-05,3.47475
1.125e-05,3.47475
1.12917e-05,3.51515
1.13333e-05,3.51515
1.1375e-05,3.47475
1.14167e-05,3.47475
1.14583e-05,3.51515
1.15e-05,3.47475
1.15417e-05,3.47475
1.15833e-05,3.51515
1.1625e-05,3.47475
1.16667e-05,3.47475
1.17083e-05,3.47475
1.175e-05,3.47475
1.17917e-05,3.51515
1.18333e-05,3.47475
1.1875e-05,3.51515
1.19167e-05,3.47475
1.19583e-05,3.47475
1.2e-05,3.51515
1.20417e-05,3.51515
1.20833e-05,3.47475
1.2125e-05,3.51515
1.21667e-05,3.51515
1.22083e-05,3.51515
1.225e-05,3.51515
1.22917e-05,3.51515
1.23333e-05,3.51515
1.2375e-05,3.51515
1.24167e-05,3.51515
1.24583e-05,3.51515
1.25e-05,3.51515
1.25417e-05,3.47475
1.25833e-05,3.47475
1.2625e-05,3.51515
1.26667e-05,3.47475
1.27083e-05,3.51515
1.275e-05,3.47475
1.27917e-05,3.51515
1.28333e-05,3.47475
1.2875e-05,3.51515
1.29167e-05,3.47475
1.29583e-05,3.47475
1.3e-05,3.47475
1.30417e-05,3.47475
1.30833e-05,3.47475
1.3125e-05,3.51515
1.31667e-05,3.47475
1.32083e-05,3.47475
1.325e-05,3.47475
1.32917e-05,3.51515
1.33333e-05,3.47475
1.3375e-05,3.47475
1.34167e-05,3.47475
1.34583e-05,3.47475
1.35e-05,3.47475
1.35417e-05,3.47475
1.35833e-05,3.47475
1.3625e-05,3.47475
1.36667e-05,3.47475
1.37083e-05,3.47475
1.375e-05,3.47475
1.37917e-05,3.47475
1.38333e-05,3.47475
1.3875e-05,3.47475
1.39167e-05,3.51515
1.39583e-05,3.47475
1.4e-05,3.51515
1.40417e-05,3.47475
1.40833e-05,3.51515
1.4125e-05,3.47475
1.41667e-05,3.47475
1.42083e-05,3.47475
1.425e-05,3.51515
1.42917e-05,3.47475
1.43333e-05,3.51515
1.4375e-05,3.47475
1.44167e-05,3.47475
1.44583e-05,3.47475
1.45e-05,3.47475
1.45417e-05,3.51515
1.45833e-05,3.47475
1.4625e-05,3.51515
1.46667e-05,3.51515
1.47083e-05,3.47475
1.475e-05,3.51515
1.47917e-05,3.47475
1.48333e-05,3.47475
1.4875e-05,3.51515
1.49167e-05,3.51515
1.49583e-05,3.47475
1.5e-05,3.47475
1.50417e-05,3.47475
1.50833e-05,3.51515
1.5125e-05,3.47475
1.51667e-05,3.47475
1.52083e-05,3.47475
1.525e-05,3.47475
1.52917e-05,3.47475
1.53333e-05,3.47475
1.5375e-05,3.47475
1.54167e-05,3.47475
1.54583e-05,3.47475
1.55e-05,3.47475
1.55417e-05,3.47475
1.55833e-05,3.47475
1.5625e-05,3.47475
1.56667e-05,3.47475
1.57083e-05,3.47475
1.575e-05,3.51515
1.57917e-05,3.51515
1.58333e-05,3.47475
1.5875e-05,3.51515
1.59167e-05,3.47475
1.59583e-05,3.47475
1.6e-05,3.47475
1.60417e-05,3.47475
1.60833e-05,3.47475
1.6125e-05,3.47475
1.61667e-05,3.47475
1.62083e-05,3.47475
1.625e-05,3.47475
1.62917e-05,3.47475
1.63333e-05,3.51515
1.6375e-05,3.51515
1.64167e-05,3.47475
1.64583e-05,3.47475
1.65e-05,3.51515
1.65417e-05,3.47475
1.65833e-05,3.47475
1.6625e-05,3.51515
1.66667e-05,3.51515
1.67083e-05,3.51515
1.675e-05,3.51515
1.67917e-05,3.51515
1.68333e-05,3.47475
1.6875e-05,3.51515
1.69167e-05,3.51515
1.69583e-05,3.51515
1.7e-05,3.51515
1.70417e-05,3.51515
1.70833e-05,3.47475
1.7125e-05,3.47475
1.71667e-05,3.51515
1.72083e-05,3.51515
1.725e-05,3.47475
1.72917e-05,3.47475
1.73333e-05,3.51515
1.7375e-05,3.47475
1.74167e-05,3.47475
1.74583e-05,3.47475
1.75e-05,3.47475
1.75417e-05,3.47475
1.75833e-05,3.47475
1.7625e-05,3.51515
1.76667e-05,3.47475
1.77083e-05,3.47475
1.775e-05,3.47475
1.77917e-05,3.51515
1.78333e-05,3.47475
1.7875e-05,3.51515
1.79167e-05,3.47475
1.79583e-05,3.51515
1.8e-05,3.47475
1.80417e-05,3.51515
1.80833e-05,3.51515
1.8125e-05,3.51515
1.81667e-05,3.51515
1.82083e-05,3.47475
1.825e-05,3.51515
1.82917e-05,3.47475
1.83333e-05,3.47475
1.8375e-05,3.47475
1.84167e-05,3.47475
1.84583e-05,3.47475
1.85e-05,3.47475
1.85417e-05,3.47475
1.85833e-05,3.47475
1.8625e-05,3.47475
1.86667e-05,3.47475
1.87083e-05,3.47475
1.875e-05,3.47475
1.87917e-05,3.47475
1.88333e-05,3.47475
1.8875e-05,3.47475
1.89167e-05,3.47475
1.89583e-05,3.47475
1.9e-05,3.47475
1.90417e-05,3.51515
1.90833e-05,3.47475
1.9125e-05,3.47475
1.91667e-05,3.47475
1.92083e-05,3.51515
1.925e-05,3.51515
1.92917e-05,3.51515
1.93333e-05,3.51515
1.9375e-05,3.51515
1.94167e-05,3.51515
1.94583e-05,3.47475
1.95e-05,3.51515
1.95417e-05,3.51515
1.95833e-05,3.51515
1.9625e-05,3.47475
1.96667e-05,3.51515
